The container contains 10000 shapes:
Parallelepiped: a = 18  b = 15  c = 2, Volume = 540.0, Density = 11
Sphere: x = 3, Volume = 20.25, Density = 4
Sphere: x = 3, Volume = 20.25, Density = 20
Sphere: x = 3, Volume = 20.25, Density = 11
Sphere: x = 3, Volume = 20.25, Density = 10
Sphere: x = 3, Volume = 20.25, Density = 21
Sphere: x = 3, Volume = 20.25, Density = 15
Sphere: x = 3, Volume = 20.25, Density = 6
Sphere: x = 3, Volume = 20.25, Density = 13
Sphere: x = 3, Volume = 20.25, Density = 12
Sphere: x = 3, Volume = 20.25, Density = 11
Sphere: x = 3, Volume = 20.25, Density = 24
Sphere: x = 3, Volume = 20.25, Density = 15
Sphere: x = 3, Volume = 20.25, Density = 22
Sphere: x = 3, Volume = 20.25, Density = 13
Sphere: x = 3, Volume = 20.25, Density = 21
Sphere: x = 3, Volume = 20.25, Density = 12
Sphere: x = 3, Volume = 20.25, Density = 20
Sphere: x = 3, Volume = 20.25, Density = 14
Sphere: x = 3, Volume = 20.25, Density = 22
Sphere: x = 3, Volume = 20.25, Density = 1
Sphere: x = 3, Volume = 20.25, Density = 24
Sphere: x = 3, Volume = 20.25, Density = 10
Sphere: x = 3, Volume = 20.25, Density = 5
Sphere: x = 3, Volume = 20.25, Density = 23
Sphere: x = 3, Volume = 20.25, Density = 14
Sphere: x = 3, Volume = 20.25, Density = 24
Sphere: x = 3, Volume = 20.25, Density = 7
Sphere: x = 3, Volume = 20.25, Density = 7
Sphere: x = 3, Volume = 20.25, Density = 22
Sphere: x = 3, Volume = 20.25, Density = 2
Sphere: x = 3, Volume = 20.25, Density = 5
Sphere: x = 3, Volume = 20.25, Density = 11
Sphere: x = 3, Volume = 20.25, Density = 24
Sphere: x = 3, Volume = 20.25, Density = 1
Sphere: x = 3, Volume = 20.25, Density = 2
Sphere: x = 3, Volume = 20.25, Density = 23
Sphere: x = 3, Volume = 20.25, Density = 5
Sphere: x = 3, Volume = 20.25, Density = 24
Sphere: x = 3, Volume = 20.25, Density = 18
Sphere: x = 3, Volume = 20.25, Density = 10
Sphere: x = 3, Volume = 20.25, Density = 11
Sphere: x = 3, Volume = 20.25, Density = 1
Sphere: x = 3, Volume = 20.25, Density = 18
Sphere: x = 3, Volume = 20.25, Density = 0
Sphere: x = 3, Volume = 20.25, Density = 0
Sphere: x = 3, Volume = 20.25, Density = 4
Sphere: x = 3, Volume = 20.25, Density = 6
Sphere: x = 3, Volume = 20.25, Density = 18
Sphere: x = 3, Volume = 20.25, Density = 23
Sphere: x = 3, Volume = 20.25, Density = 19
Sphere: x = 3, Volume = 20.25, Density = 9
Sphere: x = 3, Volume = 20.25, Density = 15
Sphere: x = 3, Volume = 20.25, Density = 20
Sphere: x = 3, Volume = 20.25, Density = 20
Sphere: x = 3, Volume = 20.25, Density = 10
Sphere: x = 3, Volume = 20.25, Density = 16
Sphere: x = 3, Volume = 20.25, Density = 13
Sphere: x = 3, Volume = 20.25, Density = 21
Sphere: x = 3, Volume = 20.25, Density = 16
Sphere: x = 3, Volume = 20.25, Density = 7
Sphere: x = 3, Volume = 20.25, Density = 0
Sphere: x = 3, Volume = 20.25, Density = 7
Sphere: x = 3, Volume = 20.25, Density = 0
Sphere: x = 3, Volume = 20.25, Density = 5
Sphere: x = 3, Volume = 20.25, Density = 9
Sphere: x = 3, Volume = 20.25, Density = 11
Sphere: x = 3, Volume = 20.25, Density = 10
Sphere: x = 3, Volume = 20.25, Density = 3
Sphere: x = 3, Volume = 20.25, Density = 4
Sphere: x = 3, Volume = 20.25, Density = 21
Sphere: x = 3, Volume = 20.25, Density = 11
Sphere: x = 3, Volume = 20.25, Density = 21
Parallelepiped: a = 7  b = 3  c = 1, Volume = 21.0, Density = 17
Parallelepiped: a = 1  b = 11  c = 2, Volume = 22.0, Density = 20
Parallelepiped: a = 1  b = 22  c = 1, Volume = 22.0, Density = 7
Parallelepiped: a = 22  b = 1  c = 1, Volume = 22.0, Density = 11
Parallelepiped: a = 23  b = 1  c = 1, Volume = 23.0, Density = 23
Parallelepiped: a = 8  b = 3  c = 1, Volume = 24.0, Density = 17
Parallelepiped: a = 1  b = 24  c = 1, Volume = 24.0, Density = 5
Parallelepiped: a = 5  b = 1  c = 5, Volume = 25.0, Density = 18
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 6
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 7
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 17
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 22
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 18
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 24
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 17
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 24
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 24
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 4
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 11
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 18
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 9
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 20
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 23
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 18
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 13
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 16
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 8
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 3
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 18
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 23
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 7
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 4
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 14
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 6
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 9
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 22
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 20
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 16
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 14
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 3
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 23
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 6
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 18
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 12
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 3
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 0
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 21
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 11
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 1
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 7
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 6
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 1
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 6
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 11
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 1
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 16
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 9
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 21
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 8
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 7
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 6
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 20
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 1
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 19
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 4
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 21
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 9
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 22
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 16
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 7
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 23
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 18
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 17
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 14
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 5
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 19
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 7
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 17
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 18
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 2
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 23
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 17
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 1
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 17
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 14
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 23
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 10
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 2
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 12
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 12
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 24
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 12
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 19
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 22
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 9
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 8
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 9
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 3
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 2
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 6
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 15
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 0
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 19
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 3
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 9
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 13
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 22
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 22
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 15
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 1
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 1
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 19
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 0
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 0
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 15
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 20
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 22
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 23
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 24
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 23
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 10
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 13
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 5
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 19
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 24
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 7
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 16
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 2
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 5
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 5
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 10
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 1
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 22
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 22
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 6
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 2
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 18
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 23
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 16
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 7
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 9
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 2
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 12
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 0
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 11
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 12
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 21
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 12
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 4
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 17
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 19
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 12
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 9
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 6
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 14
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 15
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 9
Parallelepiped: a = 4  b = 1  c = 7, Volume = 28.0, Density = 17
Parallelepiped: a = 2  b = 14  c = 1, Volume = 28.0, Density = 14
Parallelepiped: a = 2  b = 7  c = 2, Volume = 28.0, Density = 18
Parallelepiped: a = 1  b = 15  c = 2, Volume = 30.0, Density = 18
Parallelepiped: a = 2  b = 3  c = 5, Volume = 30.0, Density = 8
Parallelepiped: a = 16  b = 1  c = 2, Volume = 32.0, Density = 19
Parallelepiped: a = 8  b = 1  c = 4, Volume = 32.0, Density = 9
Parallelepiped: a = 2  b = 8  c = 2, Volume = 32.0, Density = 21
Parallelepiped: a = 2  b = 4  c = 4, Volume = 32.0, Density = 18
Parallelepiped: a = 8  b = 2  c = 2, Volume = 32.0, Density = 7
Parallelepiped: a = 1  b = 12  c = 3, Volume = 36.0, Density = 4
Parallelepiped: a = 3  b = 6  c = 2, Volume = 36.0, Density = 13
Parallelepiped: a = 3  b = 12  c = 1, Volume = 36.0, Density = 7
Parallelepiped: a = 6  b = 6  c = 1, Volume = 36.0, Density = 10
Parallelepiped: a = 18  b = 1  c = 2, Volume = 36.0, Density = 9
Parallelepiped: a = 9  b = 1  c = 4, Volume = 36.0, Density = 11
Parallelepiped: a = 2  b = 19  c = 1, Volume = 38.0, Density = 13
Parallelepiped: a = 1  b = 3  c = 13, Volume = 39.0, Density = 20
Parallelepiped: a = 1  b = 13  c = 3, Volume = 39.0, Density = 21
Parallelepiped: a = 1  b = 20  c = 2, Volume = 40.0, Density = 9
Parallelepiped: a = 2  b = 20  c = 1, Volume = 40.0, Density = 7
Parallelepiped: a = 8  b = 5  c = 1, Volume = 40.0, Density = 0
Parallelepiped: a = 2  b = 1  c = 20, Volume = 40.0, Density = 5
Parallelepiped: a = 20  b = 2  c = 1, Volume = 40.0, Density = 1
Parallelepiped: a = 20  b = 2  c = 1, Volume = 40.0, Density = 16
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 0
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 22
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 9
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 4
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 21
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 3
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 5
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 22
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 16
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 14
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 5
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 20
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 10
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 21
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 17
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 9
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 8
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 12
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 11
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 12
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 17
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 1
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 12
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 22
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 24
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 12
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 23
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 2
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 11
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 2
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 8
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 21
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 9
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 18
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 3
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 18
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 21
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 10
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 23
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 13
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 21
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 9
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 5
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 14
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 13
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 16
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 1
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 19
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 6
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 11
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 2
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 14
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 6
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 24
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 2
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 3
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 3
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 19
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 13
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 16
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 24
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 24
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 3
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 6
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 9
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 15
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 10
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 22
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 7
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 20
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 22
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 1
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 21
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 12
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 1
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 1
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 23
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 20
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 2
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 17
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 9
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 23
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 13
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 19
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 1
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 14
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 11
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 18
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 17
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 16
